date,close,open,high,low,volume,change
2019年6月5日,871.6,884,886.26,870,3.41M,-0.42%
2019年6月4日,875.3,895,895.43,871,3.97M,-1.87%
2019年6月3日,892,892,901.35,886.28,3.45M,0.22%
2019年5月31日,890,900.53,906.99,890,3.58M,-1.69%
2019年5月30日,905.3,910,919.99,891.22,4.02M,-0.72%
2019年5月29日,911.91,888.01,924.95,888.01,6.56M,2.69%
2019年5月28日,888,877.99,907.49,875.02,7.48M,1.02%
2019年5月27日,879,879.1,882.99,860.05,3.92M,0.06%
2019年5月24日,878.5,865,885,864.44,4.40M,2.03%
2019年5月23日,861,881,883.98,856.22,5.81M,-3.04%
2019年5月22日,888,894.98,904,880,3.20M,-0.78%
2019年5月21日,895,885,910,872.02,4.24M,1.13%
2019年5月20日,884.96,900,900,871,4.44M,-2.41%
2019年5月17日,906.79,927.02,932.3,900.1,4.98M,-2.49%
2019年5月16日,929.91,919,932,905,4.45M,0.31%
2019年5月15日,927,890.24,933,890.24,6.31M,4.56%
2019年5月14日,886.57,885,906,873,6.00M,-0.61%
2019年5月13日,892,898.86,910.98,884,4.66M,-1.67%
2019年5月10日,907.12,875.66,910.78,868.19,7.99M,5.63%
2019年5月9日,858.81,875,879.87,842.5,9.15M,-2.89%
2019年5月8日,884.4,860,901.8,860,8.19M,-0.63%
2019年5月7日,890,893.28,913.94,870.22,10.08M,-1.77%
2019年5月6日,906,925.5,935,893,13.51M,-6.98%
2019年4月30日,974,968,984.96,963.11,3.59M,0.21%
2019年4月29日,971.97,945,989,935,5.26M,2.85%
2019年4月26日,945,946.3,959.88,945,4.33M,-0.77%
2019年4月25日,952.37,968.79,973.99,951.22,3.98M,-1.82%
2019年4月24日,970,979.88,990,951.22,4.52M,-0.51%
2019年4月23日,974.95,951,981.22,949.2,4.89M,2.71%
2019年4月22日,949.2,959.5,978.89,940.61,4.06M,-0.35%
2019年4月19日,952.56,943.96,960.95,931.31,3.24M,0.75%
2019年4月18日,945.5,945.41,954.68,936.22,1.96M,-0.68%
2019年4月17日,952,938,955.51,925,4.08M,1.29%
2019年4月16日,939.9,904.9,939.9,901.22,4.64M,3.63%
2019年4月15日,907,931,939,907,4.55M,-0.77%
2019年4月12日,914,909,919.99,900.01,4.86M,-1.21%
2019年4月11日,925.2,948,950,905.55,6.11M,-2.40%
2019年4月10日,947.99,903,951.9,900,6.78M,4.75%
2019年4月9日,905,903,908.2,892.51,4.80M,0.53%
2019年4月8日,900.2,900,908,890.12,6.63M,4.07%
2019年4月4日,865,840,865.8,836.2,5.58M,2.43%
2019年4月3日,844.5,840.12,851.74,834.21,4.31M,-0.65%
2019年4月2日,850,859.99,859.99,836.06,5.32M,-1.05%
2019年4月1日,859,860,868.95,851,6.09M,0.59%
2019年3月29日,853.99,835,866.68,830.17,9.09M,5.85%
2019年3月28日,806.8,793.43,814.48,785.68,5.76M,2.32%
2019年3月27日,788.5,781,793.88,775,4.28M,2.01%
2019年3月26日,773,780,785.94,764.1,3.76M,-0.34%
2019年3月25日,775.6,786,788,773.3,3.73M,-2.32%
2019年3月22日,794,788.22,799.98,785,3.05M,1.05%
2019年3月21日,785.75,788,792.8,781.5,3.26M,-0.89%
2019年3月20日,792.8,790,802.3,785,3.11M,0.02%
2019年3月19日,792.61,803,807.92,792.3,4.06M,-2.16%
2019年3月18日,810.09,778.8,814.53,777,8.13M,4.22%
2019年3月15日,777.3,776,787.5,764.85,5.24M,-0.09%
2019年3月14日,778,757,785,754,6.22M,3.18%
2019年3月13日,754,745.5,760.75,745.5,4.06M,1.21%
2019年3月12日,745.01,763.82,763.83,739,5.25M,-1.78%
2019年3月11日,758.54,740.04,766.95,740.04,5.31M,2.85%
2019年3月8日,737.5,737.9,746.83,733.65,5.23M,-1.48%
2019年3月7日,748.6,762.22,762.22,745.56,6.02M,-2.53%
2019年3月6日,768,775,779.5,765.88,4.67M,-1.51%
2019年3月5日,779.78,785,789.55,775.88,4.48M,-0.27%
2019年3月4日,781.86,795,798.33,777.22,8.46M,-0.94%
2019年3月1日,789.3,761.5,790,761,6.38M,4.54%
2019年2月28日,755.01,737.9,763.42,736.95,5.70M,1.93%
2019年2月27日,740.7,733,758.02,731,6.59M,1.84%
2019年2月26日,727.35,747.8,749.18,726,5.80M,-2.02%
2019年2月25日,742.33,730.75,744.44,717.99,8.26M,2.25%
2019年2月22日,726.01,717,728.49,714.1,2.59M,0.80%
2019年2月21日,720.25,720,730.48,717,2.99M,-0.24%
2019年2月20日,722,735,735,716.06,3.79M,-1.20%
2019年2月19日,730.76,740.96,742.5,726.66,2.95M,-1.25%
2019年2月18日,740,731,744.95,731,3.77M,2.10%
2019年2月15日,724.78,734.88,734.88,723.02,2.32M,-1.68%
2019年2月14日,737.16,731.2,743.66,730.14,3.23M,0.26%
2019年2月13日,735.25,723,736.16,717.22,3.57M,2.41%
2019年2月12日,717.92,723,725.49,715.2,3.51M,-1.02%
2019年2月11日,725.3,695,729.5,688.18,5.81M,4.71%
2019年2月1日,692.67,697.04,699,689.61,3.05M,0.45%
2019年1月31日,689.6,680,689.6,677.56,3.67M,2.01%
