date,close,open,high,low,volume,change
2016年8月18日,306.45,307.95,309.65,305.13,3100000.0,-0.006
2016年8月19日,306.55,305.8,307.45,304.8,1910000.0,0.0003
2016年8月22日,307.3,306.13,309.58,306.0,2080000.0,0.0024
2016年8月23日,306.99,307.33,309.04,305.8,1990000.0,-0.001
2016年8月24日,305.22,307.02,307.49,303.83,2280000.0,-0.0058
2016年8月25日,303.1,305.2,305.38,300.07,2540000.0,-0.0069
2016年8月26日,301.5,303.14,304.55,300.4,2140000.0,-0.0053
2016年8月29日,307.52,308.0,308.8,305.2,3810000.0,0.02
2016年8月30日,305.98,307.0,308.5,304.67,2120000.0,-0.005
2016年8月31日,310.1,306.7,310.76,305.54,4040000.0,0.013500000000000002
2016年9月1日,308.72,309.7,312.0,308.25,1720000.0,-0.0045000000000000005
2016年9月2日,305.7,308.0,309.45,304.88,1860000.0,-0.0098
2016年9月5日,308.48,306.2,309.0,305.81,1910000.0,0.0091
2016年9月6日,309.95,308.5,310.36,308.35,2060000.0,0.0048
2016年9月7日,306.52,309.68,309.68,305.5,2960000.0,-0.0111
2016年9月8日,305.9,305.21,306.5,304.41,1670000.0,-0.002
2016年9月9日,304.5,306.65,306.86,304.0,1620000.0,-0.0046
2016年9月12日,298.35,302.0,304.0,297.77,3820000.0,-0.0202
2016年9月13日,300.23,299.95,300.97,299.3,1630000.0,0.0063
2016年9月14日,299.5,300.1,302.2,298.01,1850000.0,-0.0024
2016年9月19日,300.15,300.05,301.57,299.88,1290000.0,0.0022
2016年9月20日,295.01,300.78,300.8,294.0,3490000.0,-0.0171
2016年9月21日,294.1,295.06,295.39,289.11,3900000.0,-0.0031
2016年9月22日,296.99,294.3,299.98,294.01,2960000.0,0.0098
2016年9月23日,297.7,297.02,298.95,295.4,1270000.0,0.0024
2016年9月26日,288.76,297.0,297.01,288.55,3720000.0,-0.03
2016年9月27日,291.18,288.88,291.98,288.76,1790000.0,0.0084
2016年9月28日,288.4,291.79,291.79,287.56,2240000.0,-0.0095
2016年9月29日,290.95,287.85,293.0,287.85,2370000.0,0.0088
